Unnamed: 0,host,phage,label,k3dist,k6dist,GCdiff,Homology,pairs,data,host_strain,genus,source
1.0,staphylococcus_arlettae,PG-2021_10,0,0.57844884571983,0.402651436422747,-2.74211366251363,0.0,Staphylococcus_arlettae:PG-2021_10,StaphStudy,staphylococcus_arlettae,staphylococcus_arlettae,original
2.0,staphylococcus_aureus,PG-2021_10,1,0.616029772083553,0.433583644089519,-2.08969381825635,0.0,Staphylococcus_aureus:PG-2021_10,StaphStudy,staphylococcus_aureus,staphylococcus_aureus,original
3.0,staphylococcus_auricularis,PG-2021_10,0,0.683113315033196,0.479902869830796,-6.60904621248772,0.0,Staphylococcus_auricularis:PG-2021_10,StaphStudy,staphylococcus_auricularis,staphylococcus_auricularis,original
4.0,staphylococcus_capitis,PG-2021_10,1,0.453624148369023,0.328484213143478,-2.15669950303719,0.0,Staphylococcus_capitis:PG-2021_10,StaphStudy,staphylococcus_capitis,staphylococcus_capitis,original
5.0,staphylococcus_caprae,PG-2021_10,0,0.550319227217507,0.381438898479678,-2.84984490687334,0.0,Staphylococcus_caprae:PG-2021_10,StaphStudy,staphylococcus_caprae,staphylococcus_caprae,original
6.0,staphylococcus_chromogenes,PG-2021_10,1,0.687791691069096,0.497662270152366,-6.12190634548933,0.0,Staphylococcus_chromogenes:PG-2021_10,StaphStudy,staphylococcus_chromogenes,staphylococcus_chromogenes,original
7.0,staphylococcus_cohnii,PG-2021_10,1,0.56978264901187,0.410313607714242,-1.92349628593065,0.0,Staphylococcus_cohnii:PG-2021_10,StaphStudy,staphylococcus_cohnii,staphylococcus_cohnii,original
8.0,staphylococcus_epidermidis,PG-2021_10,1,0.50920994997971,0.366701769220402,-1.32529325747863,0.0,Staphylococcus_epidermidis:PG-2021_10,StaphStudy,staphylococcus_epidermidis,staphylococcus_epidermidis,original
9.0,staphylococcus_equorum,PG-2021_10,1,0.557698164289141,0.392506436716382,-2.35267450168031,0.0,Staphylococcus_equorum:PG-2021_10,StaphStudy,staphylococcus_equorum,staphylococcus_equorum,original
10.0,staphylococcus_fleuretti,PG-2021_10,0,0.416863154589347,0.318281815782418,-0.713069331506524,0.0,Staphylococcus_fleuretti:PG-2021_10,StaphStudy,staphylococcus_fleuretti,staphylococcus_fleuretti,original
11.0,staphylococcus_haemolyticus,PG-2021_10,0,0.542528927955363,0.376330955409636,-2.02270848392886,0.0,Staphylococcus_haemolyticus:PG-2021_10,StaphStudy,staphylococcus_haemolyticus,staphylococcus_haemolyticus,original
12.0,staphylococcus_hominis,PG-2021_10,0,0.515241172988888,0.359670859725775,-0.880371411497567,0.0,Staphylococcus_hominis:PG-2021_10,StaphStudy,staphylococcus_hominis,staphylococcus_hominis,original
13.0,staphylococcus_hyicus,PG-2021_10,0,0.696680706036634,0.496397390072357,-4.80803385683884,0.0,Staphylococcus_hyicus:PG-2021_10,StaphStudy,staphylococcus_hyicus,staphylococcus_hyicus,original
14.0,staphylococcus_kloosii,PG-2021_10,0,0.617742148036772,0.410330830740983,-2.31277146226039,0.0,Staphylococcus_kloosii:PG-2021_10,StaphStudy,staphylococcus_kloosii,staphylococcus_kloosii,original
15.0,staphylococcus_lentus,PG-2021_10,1,0.431955384345844,0.313086072500048,-1.12715663563818,0.0,Staphylococcus_lentus:PG-2021_10,StaphStudy,staphylococcus_lentus,staphylococcus_lentus,original
16.0,staphylococcus_lugdunensis,PG-2021_10,1,0.594753069949619,0.425545187339654,-2.9759262543269,0.0,Staphylococcus_lugdunensis:PG-2021_10,StaphStudy,staphylococcus_lugdunensis,staphylococcus_lugdunensis,original
17.0,staphylococcus_nepalensis,PG-2021_10,0,0.589148163972929,0.417791795037058,-2.34479766466181,0.0,Staphylococcus_nepalensis:PG-2021_10,StaphStudy,staphylococcus_nepalensis,staphylococcus_nepalensis,original
18.0,staphylococcus_pasteuri,PG-2021_10,1,0.548378966986528,0.382119543311432,-1.93760380719813,0.0,Staphylococcus_pasteuri:PG-2021_10,StaphStudy,staphylococcus_pasteuri,staphylococcus_pasteuri,original
19.0,staphylococcus_pettenkoferi,PG-2021_10,0,0.636599232481385,0.459371854823531,-8.36586277443962,0.0,Staphylococcus_pettenkoferi:PG-2021_10,StaphStudy,staphylococcus_pettenkoferi,staphylococcus_pettenkoferi,original
20.0,staphylococcus_pseudintermedius,PG-2021_10,0,0.735481840322026,0.534399570619529,-6.86167156074051,0.0,Staphylococcus_pseudintermedius:PG-2021_10,StaphStudy,staphylococcus_pseudintermedius,staphylococcus_pseudintermedius,original
21.0,staphylococcus_saprophyticus,PG-2021_10,0,0.59019883220251,0.42045664267669,-2.45884991943448,0.0,Staphylococcus_saprophyticus:PG-2021_10,StaphStudy,staphylococcus_saprophyticus,staphylococcus_saprophyticus,original
22.0,staphylococcus_schleiferi,PG-2021_10,1,0.667528667009797,0.485734544400983,-5.25789070055682,0.0,Staphylococcus_schleiferi:PG-2021_10,StaphStudy,staphylococcus_schleiferi,staphylococcus_schleiferi,original
23.0,staphylococcus_sciuri,PG-2021_10,1,0.501724121033823,0.358277509622905,-1.85211234880274,0.0,Staphylococcus_sciuri:PG-2021_10,StaphStudy,staphylococcus_sciuri,staphylococcus_sciuri,original
24.0,staphylococcus_succinus,PG-2021_10,1,0.538614189408411,0.382919912110493,-2.3129472780722,0.0,Staphylococcus_succinus:PG-2021_10,StaphStudy,staphylococcus_succinus,staphylococcus_succinus,original
